"search-number","evaluation","evals-requested-so-far","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","500","0","20","0","30","0","4","0","5","0","1","0","1","""1138335530""","38.09252669039146","38.09252669039146","38.09252669039146","0","38.09252669039146"
"1","2","500","0","20","0","30","0","4","0","5","0","1","0","1","""-1339541931""","40.018248175182485","40.018248175182485","40.018248175182485","0","40.018248175182485"
"1","3","500","0","20","0","30","0","4","0","5","0","1","0","1","""-989858458""","37.318518518518516","37.318518518518516","37.318518518518516","0","37.318518518518516"
"1","4","500","0","20","0","30","0","4","0","5","0","1","0","1","""-554377792""","38.69230769230769","38.69230769230769","38.69230769230769","0","38.69230769230769"
"1","5","500","0","20","0","30","0","4","0","5","0","1","0","1","""993521564""","40.396491228070175","40.396491228070175","40.396491228070175","0","40.396491228070175"
"1","6","500","0","20","0","30","0","4","0","5","0","1","0","1","""-386056063""","36.41240875912409","36.41240875912409","36.41240875912409","0","36.41240875912409"
"1","7","500","0","20","0","30","0","4","0","5","0","1","0","1","""-696497507""","38.777372262773724","38.777372262773724","38.777372262773724","0","38.777372262773724"
"1","8","500","0","20","0","30","0","4","0","5","0","1","0","1","""1184866548""","38.981549815498155","38.981549815498155","38.981549815498155","0","38.981549815498155"
"1","9","500","0","20","0","30","0","4","0","5","0","1","0","1","""1701666533""","37.58455882352941","37.58455882352941","37.58455882352941","0","37.58455882352941"
"1","10","500","0","20","0","30","0","4","0","5","0","1","0","1","""868949162""","38.5916955017301","38.5916955017301","38.5916955017301","0","38.5916955017301"
"1","11","500","0","60","0","30","0","4","0","3","0","3","0","1","""563722534""","78.74642857142857","78.74642857142857","78.74642857142857","0","78.74642857142857"
"1","12","500","0","60","0","30","0","4","0","3","0","3","0","1","""-2058227432""","78.53237410071942","78.53237410071942","78.53237410071942","0","78.53237410071942"
"1","13","500","0","60","0","30","0","4","0","3","0","3","0","1","""1005979490""","76.64","76.64","76.64","0","76.64"
"1","14","500","0","60","0","30","0","4","0","3","0","3","0","1","""-519354475""","78.02158273381295","78.02158273381295","78.02158273381295","0","78.02158273381295"
"1","15","500","0","60","0","30","0","4","0","3","0","3","0","1","""-905016249""","77.48591549295774","77.48591549295774","77.48591549295774","0","77.48591549295774"
"1","16","500","0","60","0","30","0","4","0","3","0","3","0","1","""-1666071320""","79.03272727272727","79.03272727272727","79.03272727272727","0","79.03272727272727"
"1","17","500","0","60","0","30","0","4","0","3","0","3","0","1","""-890312831""","77.63468634686348","77.63468634686348","77.63468634686348","0","77.63468634686348"
"1","18","500","0","60","0","30","0","4","0","3","0","3","0","1","""-1944841518""","79.15770609318996","79.15770609318996","79.15770609318996","0","79.15770609318996"
"1","19","500","0","60","0","30","0","4","0","3","0","3","0","1","""-1710870768""","79.71428571428571","79.71428571428571","79.71428571428571","0","79.71428571428571"
"1","20","500","0","60","0","30","0","4","0","3","0","3","0","1","""-1846836266""","77.85074626865672","77.85074626865672","77.85074626865672","0","77.85074626865672"
"1","21","500","0","80","0","20","0","3","0","1","0","1","0","4","""609090841""","11.573529411764707","11.573529411764707","11.573529411764707","0","11.573529411764707"
"1","22","500","0","80","0","20","0","3","0","1","0","1","0","4","""-1434078893""","10.733576642335766","10.733576642335766","10.733576642335766","0","10.733576642335766"
"1","23","500","0","80","0","20","0","3","0","1","0","1","0","4","""794436854""","11.86861313868613","11.86861313868613","11.86861313868613","0","11.86861313868613"
